         80910166 function calls (80870843 primitive calls) in 69.643 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   955656    0.147    0.000    0.147    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/npyio.py:946(pack_items)
    10826    0.083    0.000    0.145    0.000 /voyager/projects/xgao/LivSim-LTX/LivSim_Processing/event.py:8(Arrival)
   159277    0.096    0.000    0.137    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/codecs.py:309(__init__)
   955656    0.136    0.000    0.136    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_datasource.py:103(_load)
   159304    0.051    0.000    0.131    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/abc.py:96(__instancecheck__)
  1274210    0.127    0.000    0.127    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/urllib/parse.py:99(_noop)
   159276    0.090    0.000    0.125    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/npyio.py:1022(<listcomp>)
   955665    0.120    0.000    0.120    0.000 {method 'lower' of 'str' objects}
   159276    0.081    0.000    0.116    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1441(squeeze)
    17777    0.011    0.000    0.115    0.000 <__array_function__ internals>:2(atleast_2d)
   159276    0.096    0.000    0.096    0.000 {method 'translate' of 'str' objects}
   159276    0.064    0.000    0.096    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_datasource.py:256(__del__)
   477837    0.095    0.000    0.095    0.000 {method 'endswith' of 'str' objects}
   796381    0.092    0.000    0.092    0.000 {method 'keys' of 'dict' objects}
   958750    0.092    0.000    0.092    0.000 {built-in method builtins.issubclass}
    17777    0.046    0.000    0.091    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/core/shape_base.py:81(atleast_2d)
   159276    0.070    0.000    0.089    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_datasource.py:149(__getitem__)
   159304    0.080    0.000    0.080    0.000 {built-in method _abc._abc_instancecheck}
   318552    0.074    0.000    0.074    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/core/_internal.py:906(__init__)
   159276    0.055    0.000    0.055    0.000 {built-in method builtins.iter}
   159276    0.050    0.000    0.050    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/npyio.py:1140(<listcomp>)
   159276    0.049    0.000    0.049    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/npyio.py:1116(<listcomp>)
   318552    0.046    0.000    0.046    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/core/multiarray.py:736(dot)
   159276    0.045    0.000    0.045    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_iotools.py:38(_is_string_like)
   159277    0.041    0.000    0.041    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/codecs.py:260(__init__)
    38140    0.040    0.000    0.040    0.000 {built-in method numpy.asanyarray}
   177532    0.037    0.000    0.037    0.000 {built-in method builtins.hasattr}
   136287    0.034    0.000    0.034    0.000 /voyager/projects/xgao/LivSim-LTX/LivSim_Processing/engine.py:15(__init__)
   159291    0.034    0.000    0.034    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
   159940    0.028    0.000    0.028    0.000 {built-in method builtins.getattr}
   159276    0.025    0.000    0.025    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1437(_squeeze_dispatcher)
   159386    0.022    0.000    0.022    0.000 {method 'items' of 'dict' objects}
    17777    0.008    0.000    0.020    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/core/shape_base.py:218(_vhstack_dispatcher)
      426    0.000    0.000    0.019    0.000 <__array_function__ internals>:2(nanmedian)
      426    0.001    0.000    0.018    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/nanfunctions.py:1028(nanmedian)
        1    0.017    0.017    0.017    0.017 simulate.py:155(<listcomp>)
  852/426    0.001    0.000    0.016    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/function_base.py:3513(_ureduce)
      426    0.000    0.000    0.016    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/nanfunctions.py:977(_nanmedian)
